CUSTOMERNAME,CONTACTFIRSTNAME,CONTACTLASTNAME,PHONE,ADDRESSLINE1,CITY,COUNTRY,DEALSIZE
Land of Toys Inc.,Kwai,Yu,2125557818,897 Long Airport Avenue,NYC,USA,Small
Reims Collectables,Paul,Henriot,26.47.1555,59 rue de l'Abbaye,Reims,France,Small
Lyon Souveniers,Daniel,Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France,Medium
Toys4GrownUps.com,Julie,Young,6265557265,78934 Hillside Dr.,Pasadena,USA,Medium
Technics Stores Inc.,Juri,Hirano,6505556809,9408 Furth Circle,Burlingame,USA,Medium
Daedalus Designs Imports,Martine,Rance,20.16.1555,"184, chausse de Tournai",Lille,France,Small
Herkku Gifts,Veysel,Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Medium
Auto Canal Petit,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,France,Medium
"Australian Collectors, Co.",Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia,Medium
Vitachrome Inc.,Michael,Frick,2125551500,2678 Kingston Rd.,NYC,USA,Small
Tekni Collectables Inc.,William,Brown,2015559350,7476 Moss Rd.,Newark,USA,Medium
Gift Depot Inc.,Julie,King,2035552570,25593 South Bay Ln.,Bridgewater,USA,Medium
La Rochelle Gifts,Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Medium
Marta's Replicas Co.,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Medium
"Toys of Finland, Co.",Matti,Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland,Small
Baane Mini Imports,Jonas,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway,Medium
Diecast Classics Inc.,Kyung,Yu,2155551555,7586 Pompton St.,Allentown,USA,Medium
Salzburg Collectables,Georg,Pipps,6562-9555,Geislweg 14,Salzburg,Austria,Large
Souveniers And Things Co.,Adrian,Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Small
FunGiftIdeas.com,Violeta,Benitez,5085552555,1785 First Street,New Bedford,USA,Medium
"UK Collectables, Ltd.",Elizabeth,Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK,Small
Euro Shopping Channel,Diego,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Large
"Volvo Model Replicas, Co",Christina,Berglund,0921-12 3555,Berguvsvgen  8,Lule,Sweden,Large
"Corrida Auto Replicas, Ltd",Mart¡n,Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain,Large
"Dragon Souveniers, Ltd.",Eric,Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Large
Classic Legends Inc.,Maria,Hernandez,2125558493,5905 Pompton St.,NYC,USA,Medium
"Australian Gift Network, Co",Tony,Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia,Large
"Classic Gift Ideas, Inc",Francisca,Cervantes,2155554695,782 First Street,Philadelphia,USA,Medium
"Saveley & Henriot, Co.",Mary,Saveley,78.32.5555,"2, rue du Commerce",Lyon,France,Large
Canadian Gift Exchange Network,Yoshi,Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,Canada,Large
West Coast Collectables Co.,Steve,Thompson,3105553722,3675 Furth Circle,Burbank,USA,Medium
Cambridge Collectables Co.,Kyung,Tseng,6175555555,4658 Baden Av.,Cambridge,USA,Medium
Super Scale Inc.,Leslie,Murphy,2035559545,567 North Pendale Street,New Haven,USA,Medium
"Tokyo Collectables, Ltd",Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan,Large
Amica Models & Co.,Paolo,Accorti,011-4988555,Via Monte Bianco 34,Torino,Italy,Large
Scandinavian Gift Ideas,Maria,Larsson,0695-34 6555,?kergatan 24,Boras,Sweden,Large
Auto Assoc. & Cie.,Daniel,Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,France,Large
Mini Gifts Distributors Ltd.,Valarie,Nelson,4155551450,5677 Strong St.,San Rafael,USA,Large
Online Diecast Creations Co.,Valarie,Young,6035558647,2304 Long Airport Avenue,Nashua,USA,Medium
Collectables For Less Inc.,Allen,Nelson,6175558555,7825 Douglas Av.,Brickhaven,USA,Medium
"Anna's Decorations, Ltd",Anna,O'Hara,02 9936 8555,201 Miller Street,North Sydney,Australia,Small
Quebec Home Shopping Network,Jean,Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,Canada,Medium
Osaka Souveniers Co.,Mory,Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Medium
Motor Mint Distributors Inc.,Rosa,Hernandez,2155559857,11328 Douglas Av.,Philadelphia,USA,Small
Atelier graphique,Carine,Schmitt,40.32.2555,"54, rue Royale",Nantes,France,Medium
Mini Classics,Steve,Frick,9145554562,3758 North Pendale Street,White Plains,USA,Medium
Danish Wholesale Imports,Jytte,Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark,Large
"Stylish Desk Decors, Co.",Ann,Brown,(171) 555-0297,35 King George,London,UK,Medium
Mini Creations Ltd.,Wing C,Tam,5085559555,4575 Hillside Dr.,New Bedford,USA,Medium
Alpha Cognac,Annette,Roulet,61.77.6555,1 rue Alsace-Lorraine,Toulouse,France,Medium
"Double Decker Gift Stores, Ltd",Thomas,Hardy,(171) 555-7555,120 Hanover Sq.,London,UK,Medium
Enaco Distributors,Eduardo,Saavedra,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,Spain,Medium
Collectable Mini Designs Co.,Valarie,Thompson,7605558146,361 Furth Circle,San Diego,USA,Medium
Petit Auto,Catherine,Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,Belgium,Medium
"Royal Canadian Collectables, Ltd.",Elizabeth,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,Canada,Small
Gifts4AllAges.com,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,Boston,USA,Medium
giftsbymail.co.uk,Helen,Bennett,(198) 555-8888,Garden House Crowther Way,Cowes,UK,Medium
"Oulu Toy Supplies, Inc.",Pirkko,Koskitalo,981-443655,Torikatu 38,Oulu,Finland,Medium
The Sharp Gifts Warehouse,Sue,Frick,4085553659,3086 Ingle Ln.,San Jose,USA,Large
"La Corne D'abondance, Co.",Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,France,Medium
Mini Auto Werke,Roland,Mendel,7675-3555,Kirchgasse 6,Graz,Austria,Medium
Diecast Collectables,Valarie,Franco,6175552555,6251 Ingle Ln.,Boston,USA,Medium
Handji Gifts& Co,Wendy,Victorino,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Large
Cruz & Sons Co.,Arnold,Cruz,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Medium
Marseille Mini Autos,Laurence,Lebihan,91.24.4555,"12, rue des Bouchers",Marseille,France,Large
"Toms Spezialitten, Ltd",Henriette,Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,Germany,Medium
"Vida Sport, Ltd",Michael,Holz,0897-034555,Grenzacherweg 237,Gensve,Switzerland,Medium
L'ordine Souveniers,Maurizio,Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy,Large
Online Mini Collectables,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven,USA,Large
"Blauer See Auto, Co.",Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany,Medium
Suominen Souveniers,Kalle,Suominen,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland,Small
Muscle Machine Inc,Jeff,Young,2125557413,4092 Furth Circle,NYC,USA,Large
"Clover Collections, Co.",Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,Ireland,Large
CAF Imports,Jesus,Fernandez,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Large
"AV Stores, Co.",Victoria,Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,UK,Medium
Heintze Collectables,Palle,Ibsen,86 21 3555,Smagsloget 45,Aaarhus,Denmark,Large
Microscale Inc.,Kee,Kuo,2125551957,5290 North Pendale Street,NYC,USA,Medium
Boards & Toys Co.,Leslie,Young,3105552373,4097 Douglas Av.,Glendale,USA,Medium
"Iberia Gift Imports, Corp.",Jose Pedro,Roel,(95) 555 82 82,"C/ Romero, 33",Sevilla,Spain,Medium
Signal Collectibles Ltd.,Sue,Taylor,4155554312,2793 Furth Circle,Brisbane,USA,Medium
Mini Caravy,Frederique,Citeaux,88.60.1555,"24, place Kluber",Strasbourg,France,Large
Signal Gift Stores,Sue,King,7025551838,8489 Strong St.,Las Vegas,USA,Medium
"Norway Gifts By Mail, Co.",Jan,Klaeboe,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Medium
Rovelli Gifts,Giovanni,Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,Italy,Medium
